artist,track,time,date_e,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39,w40,w41,w42,w43,w44,w45,w46,w47,w48,w49,w50,w51,w52,w53,w54,w55,w56,w57,w58,w59,w60,w61,w62,w63,w64,w65,w66,w67,w68,w69,w70,w71,w72,w73,w74,w75,w76
"Dixie Chicks, The",Cowboy Take Me Away,04:51,27-11-1999,79,72,70,61,52,52,52,39,31,27,27,27,31,37,40,47,51,56,59,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McGraw, Tim",My Next Thirty Years,03:37,21-10-2000,73,62,56,52,46,40,36,31,27,27,28,40,33,33,39,40,48,53,58,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tritt, Travis",Best Of Intentions,04:15,19-08-2000,97,86,79,70,63,56,50,48,51,38,33,31,28,28,28,27,29,31,37,45,49,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alice Deejay,Better Off Alone,06:50,08-04-2000,79,65,53,48,45,36,34,29,27,30,36,37,39,49,57,63,65,68,79,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoku,Another Dumb Blonde,03:47,19-02-2000,69,49,49,34,34,34,30,27,36,41,53,56,80,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Houston, Whitney",I Learned From The Best,04:18,19-02-2000,83,83,83,40,28,27,28,36,53,73,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Counting Crows,Hanginaround,04:07,06-11-1999,84,70,66,60,46,37,35,35,35,32,29,29,28,32,38,48,56,59,61,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mary Mary,Shackles (Praise You),03:12,25-03-2000,90,76,72,54,43,37,34,28,33,30,31,39,43,53,60,70,71,76,84,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carey, Mariah",Crybaby,05:19,24-06-2000,28,34,48,62,77,90,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McGraw, Tim",My Best Friend,04:33,27-11-1999,85,76,71,64,54,54,55,46,38,29,29,33,32,31,36,38,39,41,46,49,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugar Ray,Falls Apart,04:15,15-01-2000,70,64,54,40,34,29,29,32,32,37,47,49,52,60,76,80,89,97,98,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madonna,American Pie,04:30,19-02-2000,43,35,29,29,33,32,40,58,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jones, Donell",Where I Wanna Be,06:22,22-04-2000,81,71,65,50,41,41,36,41,38,35,33,29,36,34,34,40,42,49,55,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Paisley, Brad",We Danced,03:45,14-10-2000,71,68,52,52,45,42,39,34,34,29,36,42,55,53,57,64,72,84,83,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lonestar,What About Now,03:30,10-06-2000,78,72,66,64,56,50,47,39,37,34,30,30,35,36,37,43,54,60,61,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Backstreet Boys, The",The One,03:46,27-05-2000,58,50,43,37,31,30,39,47,55,61,76,90,93,93,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Keith, Toby",How Do You Like Me Now?!,03:29,29-01-2000,77,72,59,53,45,43,41,36,36,32,31,31,35,35,38,43,45,51,52,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Strait, George",The Best Day,03:24,29-01-2000,73,64,54,45,44,44,44,41,39,34,33,33,31,33,36,39,43,49,53,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dixie Chicks, The",Without You,03:32,07-10-2000,80,70,63,56,50,49,48,46,41,40,35,31,33,44,36,35,37,43,51,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Musiq,Just Friends (Sunny),04:02,14-10-2000,89,83,65,55,54,54,52,44,41,34,32,31,35,34,41,41,48,54,58,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McEntire, Reba",What Do You Say,03:26,30-10-1999,88,76,71,71,69,63,56,51,46,46,53,43,33,31,34,41,50,60,68,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Braxton, Toni",Just Be A Man About It,04:10,29-07-2000,76,69,51,42,37,32,32,34,34,38,50,53,53,63,65,72,79,84,89,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iglesias, Enrique",Rhythm Divine,07:35,04-12-1999,90,84,79,67,67,39,33,32,38,38,49,51,61,61,66,88,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fabian, Lara",I Will Love Again,03:43,10-06-2000,91,80,75,61,60,52,45,40,36,32,37,45,68,80,80,89,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bon Jovi,It's My Life,03:44,12-08-2000,64,58,51,51,48,45,36,33,34,34,35,34,39,44,51,58,61,84,85,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Evans, Sara",Born To Fly,05:36,21-10-2000,77,71,64,57,55,51,46,44,36,39,34,46,44,36,42,53,58,74,81,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chesney, Kenny",I Lost It,03:54,21-10-2000,75,67,61,58,58,53,47,47,40,34,36,45,42,45,60,70,82,88,89,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J-Shin,One Night Stand,04:34,25-12-1999,96,96,69,74,72,62,49,45,38,34,38,45,47,58,68,88,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eve,Love Is Blind,03:51,08-01-2000,94,91,57,46,46,40,34,39,42,46,50,59,66,78,87,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaliyah,I Don't Wanna,04:15,29-01-2000,84,62,51,41,38,35,35,38,38,36,37,37,38,49,61,63,62,67,83,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Montgomery, John Michael",The Little Girl,03:52,09-09-2000,81,67,64,56,45,41,41,35,35,38,37,42,45,50,57,63,62,83,74,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carter, Aaron",Aaron's Party (Come Get It),03:23,26-08-2000,99,75,57,35,35,37,43,79,51,55,67,83,86,92,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vassar, Phil",Just Another Day In Paradise,03:54,30-09-2000,81,81,76,67,53,46,43,38,36,35,43,41,46,51,62,58,63,70,74,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ice Cube,You Can Do It,04:20,04-12-1999,86,66,50,42,42,40,35,46,45,54,73,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wills, Mark",Back At One,04:00,15-01-2000,89,55,51,43,37,37,36,39,42,46,45,52,64,74,84,90,94,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucy Pearl,Dance Tonight,03:45,20-05-2000,80,75,63,59,55,49,42,42,40,40,36,43,46,54,72,84,84,86,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jackson, Alan",It Must Be Love,02:53,24-06-2000,76,74,68,63,57,49,44,39,39,38,37,37,40,47,62,64,75,80,84,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Griggs, Andy",She's More,03:19,11-03-2000,81,76,69,67,62,55,52,51,51,48,47,43,42,37,41,50,69,73,77,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Doubt,Simple Kind Of Life,04:11,01-07-2000,50,40,39,38,38,48,52,55,80,85,88,100,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jean, Wyclef",911,04:00,07-10-2000,77,74,64,61,53,48,43,38,42,38,44,49,53,61,66,68,80,85,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rascal Flatts,Prayin' For Daylight,03:36,06-05-2000,87,78,72,68,66,64,58,58,56,54,49,46,46,41,38,38,47,65,72,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitamin C,Graduation (Friends Forever),04:23,15-04-2000,81,64,54,54,46,40,40,40,38,42,57,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gilman, Billy",One Voice,04:07,17-06-2000,86,86,82,72,65,56,56,55,44,44,43,38,40,44,61,77,85,95,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lonestar,Smile,03:33,18-12-1999,89,80,80,80,65,47,44,42,39,39,43,41,43,45,50,58,67,78,85,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rogers, Kenny",Buy Me A Rose,03:46,11-03-2000,79,72,65,65,54,46,46,43,40,40,46,54,58,66,73,82,86,84,88,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lawrence, Tracy",Lessons Learned,02:55,29-01-2000,80,73,61,61,48,48,48,48,44,42,40,40,50,66,81,93,94,99,99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Strait, George",Go On,03:48,26-08-2000,71,67,63,56,53,48,46,46,44,40,44,46,49,56,56,71,78,88,95,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sisqo,Got To Get It,03:52,20-11-1999,92,76,73,58,48,48,48,48,49,40,43,51,50,57,63,64,68,82,88,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baha Men,Who Let The Dogs Out,03:17,22-07-2000,99,92,85,76,65,54,61,58,54,54,53,53,43,40,44,41,51,65,78,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Walker, Clay",The Chain Of Love,05:03,15-04-2000,73,65,57,57,51,48,44,43,40,45,44,53,57,68,71,81,90,94,94,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McBride, Martina",Love's The Only House,05:13,05-02-2000,79,69,65,58,53,52,52,48,45,43,42,42,50,60,64,75,91,93,92,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amber,Sexual (Li Da Di),04:38,17-07-1999,99,99,96,96,100,93,93,96,,,99,,96,96,99,98,98,,95,88,88,79,76,69,69,59,58,58,49,44,42,46,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tippin, Aaron",Kiss This,02:53,26-08-2000,74,72,66,53,52,47,47,45,42,46,51,60,68,69,78,94,87,92,97,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SheDaisy,I Will.. But,03:40,15-07-2000,78,74,70,61,59,52,48,47,45,43,44,43,52,56,70,80,86,81,85,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Raye, Collin",Couldn't Last A Moment,03:40,18-03-2000,91,85,75,73,67,63,63,63,56,49,48,46,44,44,43,45,53,66,73,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Rob,Whoa!,04:04,04-03-2000,78,59,53,52,47,46,43,47,47,58,54,57,70,85,84,93,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jackson, Alan",Pop A Top,03:04,13-11-1999,79,73,70,64,63,57,55,55,63,52,43,47,55,78,95,100,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Black, Clint",Been There,05:28,19-02-2000,87,73,62,58,58,57,51,47,44,44,44,55,53,53,63,84,85,87,95,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common,The Light,03:55,05-08-2000,75,55,53,49,46,44,49,51,51,56,52,56,70,82,86,89,93,93,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vassar, Phil",Carlene,04:07,04-03-2000,75,67,64,64,57,53,47,45,45,50,52,56,59,78,83,84,91,96,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jackson, Alan",www.memory,02:36,04-11-2000,75,59,59,54,50,49,47,45,49,69,63,67,77,89,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitamin C,The Itch,03:30,02-12-2000,86,48,45,52,57,58,76,95,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eastsidaz, The",G'D Up,04:27,08-01-2000,77,77,89,64,57,47,47,55,65,69,83,82,90,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ideal,Whatever,03:48,10-06-2000,75,75,67,73,64,56,54,54,54,48,47,50,60,68,73,81,92,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thomas, Carl",Emotional,04:31,25-11-2000,77,63,61,58,54,47,53,52,49,52,60,62,69,69,63,76,87,82,91,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ginuwine,None Of Ur Friends Business,04:12,11-12-1999,94,84,71,71,60,63,48,48,48,55,64,71,85,85,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Davidson, Clay",Unconditional,03:56,25-03-2000,97,97,97,90,83,78,74,69,60,56,54,50,49,55,52,51,51,62,63,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMX,What You Want,04:05,01-07-2000,98,95,95,87,86,79,62,60,58,57,52,55,49,57,62,65,87,89,99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"John, Elton",Someday Out Of The Blue,04:41,22-04-2000,56,56,49,59,67,60,64,73,81,90,93,89,98,94,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pearl Jam,Nothing As It Seems,05:20,13-05-2000,49,70,84,89,93,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mya,The Best Of Me,04:12,15-04-2000,85,70,65,62,55,50,50,56,61,61,72,84,81,86,86,94,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Heatherly, Eric",Flowers On The Wall,03:16,29-04-2000,95,88,88,82,82,77,72,67,65,65,65,60,60,53,51,50,57,77,83,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eminem,Stan,05:26,04-11-2000,78,67,57,57,51,51,51,57,55,70,69,77,88,93,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McEntire, Reba",I'll Be,04:23,13-05-2000,89,79,79,72,69,64,61,57,55,55,52,51,53,60,81,84,93,91,94,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lopez, Jennifer",Feelin' Good,04:28,19-02-2000,79,79,66,54,54,54,54,51,61,79,96,,,64,74,73,79,82,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Urban, Keith",Your Everything,04:10,15-07-2000,81,80,73,73,67,64,60,59,53,51,55,66,84,90,96,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TLC,Dear Lie,04:36,12-02-2000,63,55,52,51,56,74,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gill, Vince",Feels Like Love,04:13,02-09-2000,82,76,74,73,73,65,59,58,54,54,53,52,55,52,57,76,91,99,,91,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Houston, Whitney",Could I Have This Kiss Forever,03:54,17-06-2000,74,68,68,67,59,59,60,52,54,56,59,70,69,81,87,95,98,100,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloodhound Gang,The Bad Touch,04:20,18-03-2000,70,62,55,55,52,57,72,80,82,92,96,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Williams, Robbie",Angels,03:56,20-11-1999,85,77,69,69,62,56,56,64,54,53,72,83,81,88,96,93,91,89,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Messina, Jo Dee",Because You Love Me,03:50,29-01-2000,83,78,71,71,66,55,53,57,61,61,61,72,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Keith, Toby",Country Comes To Town,03:39,05-08-2000,82,78,75,69,66,62,59,58,55,55,54,62,81,95,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beenie Man,Girls Dem Sugar,04:17,21-10-2000,72,72,63,56,62,63,54,60,69,75,84,92,85,84,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hill, Faith",Let's Make Love,04:11,12-08-2000,83,83,73,73,67,60,60,60,57,55,54,69,88,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelis,Caught Out There,04:09,04-12-1999,84,68,67,63,63,54,56,59,68,67,75,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jay-Z,Anything,03:41,26-02-2000,72,58,55,55,63,74,86,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 Doors Down,Loser,04:24,21-10-2000,76,76,72,69,67,65,55,59,62,61,61,59,61,66,72,76,75,67,73,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooks & Dunn,You'll Always Be Loved By Me,02:58,10-06-2000,95,85,85,85,83,83,82,74,74,68,62,56,56,55,62,71,86,100,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chesney, Kenny",What I Need To Do,04:05,01-04-2000,79,74,68,72,69,69,62,58,57,57,56,56,56,72,80,93,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stone, Angie",No More Rain (In This Cloud),04:42,25-12-1999,86,86,74,66,56,60,56,60,67,69,63,73,71,81,89,98,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Da Brat,That's What I'm Looking For,03:44,26-02-2000,93,73,60,60,60,60,63,56,58,70,71,72,90,94,94,94,94,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SheDaisy,This Woman Needs,03:20,05-02-2000,82,70,70,67,57,57,61,68,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papa Roach,Last Resort,03:19,29-07-2000,75,71,69,69,66,64,61,61,66,64,63,60,65,66,62,66,64,64,57,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adams, Yolanda",Open My Heart,05:30,26-08-2000,76,76,74,69,68,67,61,58,57,59,66,68,61,67,59,63,67,71,79,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shyne,Bad Boyz,04:22,09-09-2000,94,87,90,90,82,67,61,57,71,78,74,81,88,96,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.E.M.,The Great Beyond,04:10,25-12-1999,79,79,70,62,60,57,61,66,60,59,60,63,79,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Diffie, Joe",It's Always Somethin',02:55,12-08-2000,81,78,67,63,60,57,63,69,78,85,92,92,,99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McGraw, Tim",Some Things Never Change,03:56,13-05-2000,76,66,66,65,63,60,60,58,58,58,58,59,70,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Henley, Don",Taking You Home,04:08,24-06-2000,79,77,74,73,66,62,58,58,61,68,71,71,79,83,85,87,83,90,87,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eminem,The Way I Am,04:40,26-08-2000,87,74,59,65,59,58,59,62,89,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nas,You Owe Me,03:51,25-03-2000,74,72,68,59,59,59,67,67,63,69,75,82,79,88,95,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sister Hazel,Change Your Mind,04:02,15-07-2000,75,67,66,59,63,71,78,81,78,78,84,87,94,91,93,95,100,98,96,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puff Daddy,Best Friend,05:33,12-02-2000,65,59,62,79,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McBride, Martina",There You Are,03:26,09-09-2000,79,75,75,75,73,64,60,60,60,63,63,82,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Usher,Pop Ya Collar,03:36,04-11-2000,68,64,60,60,62,79,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lil' Kim,No Matter What They Say,04:12,15-07-2000,80,72,67,60,65,73,81,86,90,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LFO,I Don't Wanna Kiss You Goodnight,05:00,15-04-2000,63,61,68,73,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SheDaisy,Deck The Halls,03:46,25-12-1999,97,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Splender,I Think God Can Explain,03:55,10-06-2000,71,66,62,62,62,64,65,71,81,89,95,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Simpson, Jessica",Where You Are,03:51,01-04-2000,73,66,62,62,76,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2M,Mirror Mirror,03:19,01-04-2000,87,87,94,91,75,68,65,86,62,70,74,70,70,80,82,87,90,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kumbia Kings,U Don't Love Me,03:50,04-03-2000,81,64,62,67,70,70,75,87,89,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe,Treat Her Like A Lady,04:12,05-08-2000,77,75,63,63,69,64,68,67,72,79,78,84,85,90,89,99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
